original_page,pdf_page,kind,observed_content,required_public_action,confidence,privacy_note
96,95,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
97,96,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
98,97,manuscript/biography,"Большой рассказ «Мой брат» о Тимофее Тимофеевиче Самсонове: детство, школа, война, служба и семейные записи.",Создать полноценную страницу/главу о дяде Тёме  не смешивать с Тимофеем Петровичем.,high,historical/public after verification
99,98,document/award,Удостоверение к украинской медали «Захиснику Вітчизни» 1999 года на имя Самсонова Тимофея Тимофеевича.,Хранить во внутреннем реестре  не приписывать Самсонову Т. П.  публичное решение — только в отдельном контексте дяди Тёмы и по воле семьи.  high,document,public only after explicit family decision
100,99,document/award,Удостоверение к украинской медали «Захиснику Вітчизни» 1999 года на имя Самсонова Тимофея Тимофеевича.,Хранить во внутреннем реестре  не приписывать Самсонову Т. П.  публичное решение — только в отдельном контексте дяди Тёмы и по воле семьи.  high,document,public only after explicit family decision
101,100,photo/alternate_scans,Один и тот же снимок «Экзамен по гражданской обороне» в двух вариантах/кадрированиях.,"Считать одним физическим снимком, выбрать лучший источник, не публиковать два дубля.",high,historical/public after verification
102,101,photo/alternate_scans,Один и тот же снимок «Экзамен по гражданской обороне» в двух вариантах/кадрированиях.,"Считать одним физическим снимком, выбрать лучший источник, не публиковать два дубля.",high,historical/public after verification
103,102,front_letter,Фронтовое письмо от 11.08.1943 к родителям и сестре Тане.,"Обязательная отдельная публикация: полный скан, дипломатическая расшифровка, читательская версия, дата, адресат и подпись без догадок.",high,historical/public after verification
104,103,front_letter,"Фронтовое/военное письмо к родителям, датированное 1941 годом; лист повреждён и частично выцвел.",Обязательная отдельная публикация с сохранением повреждений и пометкой неразборчивых мест.,high,historical/public after verification
105,104,front_letter_front_back,Письмо «Дорогая мамочка!» 1943 года и оборот/адрес с полевой почтой на московский адрес семьи.,"Объединить как один документ: лицевая сторона + оборот, адрес и штемпели; скрыть чувствительные данные только если это требуется.",high,historical/public after verification
106,105,front_letter_front_back,Письмо «Дорогая мамочка!» 1943 года и оборот/адрес с полевой почтой на московский адрес семьи.,"Объединить как один документ: лицевая сторона + оборот, адрес и штемпели; скрыть чувствительные данные только если это требуется.",high,historical/public after verification
107,106,front_letter,Письмо от 19.03.1944 к родителям и сестре Тане из действующей армии.,Обязательная отдельная публикация с полным сканом и расшифровкой.,high,historical/public after verification
108,107,document/award,"Удостоверение «За оборону Сталинграда» на Самсонова Тимофея Тимофеевича, вручено в 1945 году.",Создать документальную страницу дяди Тёмы  не относить к Тимофею Петровичу.,high,historical/public after verification
109,108,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
110,109,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
111,110,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
112,111,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
113,112,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
114,113,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
115,114,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
116,115,manuscript/autobiography,"Начало большого автобиографического раздела «Таня»: рождение 2 сентября 1926 года, семья, раннее детство, школа и довоенная жизнь.",Создать отдельную связную главу «Таня: детство и школа»  не оставлять только сканы.,high,historical/public after verification
117,116,album_page/class_photo,Большая школьная групповая фотография с перечнем фамилий/имён.,Опубликовать в главе о школе  сделать полный crop и context с подписями  не распознавать лица самостоятельно.,high,historical/public after verification
118,117,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
119,118,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
120,119,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
121,120,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
122,121,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
123,122,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
124,123,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
125,124,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
126,125,manuscript/autobiography_war,"Продолжение автобиографии: класс 1940–1941 годов, начало войны, учёба, эвакуация и московская юность.",Создать отдельную главу о школе и войне  связать со школьной фотографией и письмами.,high,historical/public after verification
127,126,editorial_note,"Авторская пояснительная запись: далее идёт письмо с фронта от товарища Тёмы; упомянута битва под Сталинградом и 9-й класс, 1943 год.","Использовать как вступление к коллекции фронтовых писем, а не как отдельную пустую страницу.",high,historical/public after verification
128,127,front_letter_front_back,"Двухстраничное фронтовое письмо к Тане от товарища Тёмы, датированное 20 апреля 1943 года; в тексте — переписка, надежда на встречу и полевая почта.","Обязательная отдельная публикация, обе страницы вместе, автор/подпись читаются осторожно.",high,historical/public after verification
129,128,front_letter_front_back,"Двухстраничное фронтовое письмо к Тане от товарища Тёмы, датированное 20 апреля 1943 года; в тексте — переписка, надежда на встречу и полевая почта.","Обязательная отдельная публикация, обе страницы вместе, автор/подпись читаются осторожно.",high,historical/public after verification
130,129,postcard,Рисованная новогодняя почтовая карточка с адресом/поздравлением.,Опубликовать как отдельную открытку только после установления адресата и связи с семьёй.,medium,historical/public after verification
131,130,personal_wartime_letter,"Короткое письмо «Танюша!» с пожеланиями здоровья и просьбой писать; дата 1 марта, подпись требует сверки.",Добавить в коллекцию переписки после проверки автора и года.,medium,historical/public after verification
132,131,hospital_letter,"Подписано как «Письмо от Геннадия из госпиталя», дата 18.11.1943.",Обязательная отдельная публикация в коллекции фронтовой переписки.,high,historical/public after verification
133,132,front_letter,"Второе письмо Геннадия к Тане, дата 29.11.1943; военный контекст.",Опубликовать рядом с письмом из госпиталя как связанный документ.,high,historical/public after verification
134,133,manuscript/context_note,Авторская семейная заметка о знакомом/корреспонденте и обстоятельствах переписки.,Сверить имена и использовать как контекст к письмам  не публиковать неподтверждённые чтения.,high,historical/public after verification
135,134,manuscript/youth_and_acquaintances,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,high,historical/public after verification
136,135,manuscript/youth_and_acquaintances,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,high,historical/public after verification
137,136,manuscript/youth_and_acquaintances,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,high,historical/public after verification
138,137,manuscript/youth_and_acquaintances,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,high,historical/public after verification
139,138,manuscript/youth_and_acquaintances,"Юность Татьяны, друзья, институт, знакомства и послевоенная жизнь.",Собрать в связную главу  не дробить по одной странице.,high,historical/public after verification
140,139,manuscript/courtship_travel,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",high,historical/public after verification
141,140,manuscript/courtship_travel,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",high,historical/public after verification
142,141,manuscript/courtship_travel,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",high,historical/public after verification
143,142,manuscript/courtship_travel,"Знакомство и отношения с Сашей, поездки в Крым, Севастополь, Бахчисарай, Чуфут-Кале, Судак и Магнитогорск, 1945–1947 годы.","Создать отдельную главу «Саша, Крым и начало семьи» с картой/местами только по рукописи.",high,historical/public after verification
144,143,manuscript/marriage_child,"Семейная жизнь, учёба и рождение сына Мити 28 мая 1948 года.",Включить в главу о семье  точную дату живого человека не публиковать без семейного разрешения.,high,living-person review required
145,144,manuscript/work_and_reunion,"Работа, преподавание, школа/институт, воспоминания о коллегах; большая групповая фотография и встречи выпускников.",Создать главу о работе и учёбе  фото — отдельный crop с подписью.,high,historical/public after verification
146,145,manuscript/work_and_reunion,"Работа, преподавание, школа/институт, воспоминания о коллегах; большая групповая фотография и встречи выпускников.",Создать главу о работе и учёбе  фото — отдельный crop с подписью.,high,historical/public after verification
147,146,album_page/photos,"Детские портреты Тани и Жени, снимок двух детей и спортивная фотография 1945 года.",Вырезать все физические снимки отдельно и включить в фотоисторию Татьяны.,high,historical/public after verification
148,147,album_page/group_photo,Большая групповая фотография 1949 года с подписанными участниками.,Опубликовать полный снимок и контекст подписей  имена брать только из рукописи.,high,historical/public after verification
149,148,manuscript/family_and_work,"Продолжение семейной истории, учёбы, работы и повседневной жизни.","Собрать в связную главу, проверить переходы с фотографиями.",high,historical/public after verification
150,149,manuscript/family_and_work,"Продолжение семейной истории, учёбы, работы и повседневной жизни.","Собрать в связную главу, проверить переходы с фотографиями.",high,historical/public after verification
151,150,album_page/travel_photos,"Фотографии отдыха/поездок: сено, семейные кадры и Чёрное море, подписи 1950-х годов.",Создать фотоподборку поездок с точными авторскими подписями.,high,historical/public after verification
152,151,manuscript/family_children,"Семейный быт, дети, поездки, здоровье и работа.",Собрать в главу о семье  провести privacy review.,high,historical/public after verification
153,152,manuscript/family_children,"Семейный быт, дети, поездки, здоровье и работа.",Собрать в главу о семье  провести privacy review.,high,historical/public after verification
154,153,album_page+biography,"Фотографии Мити в разные годы (1949, 1957, 1969 и др.) и краткий рассказ об учёбе/работе.",Создать семейную фотохронологию только после проверки приватности и разрешения.,high,historical/public after verification
155,154,manuscript/sergey,"Раздел «Серёжа»: рождение 16 сентября 1957 года, детство, семья и события последующих лет.",Отдельная семейная глава  не публиковать полный день/месяц рождения живого человека без разрешения.,high,living-person review required
156,155,manuscript/sergey,"Раздел «Серёжа»: рождение 16 сентября 1957 года, детство, семья и события последующих лет.",Отдельная семейная глава  не публиковать полный день/месяц рождения живого человека без разрешения.,high,living-person review required
157,156,album_page/photos,Портреты молодых людей и большая фотография женщины с ребёнком,"подписи указывают имена/родственные связи.  Вырезать снимки, но публиковать только после проверки личности и согласия живых людей.",high,living-person review required
158,157,manuscript/family_later_years,"Продолжение рассказа о детях, семье, поездках, работе и поздних событиях.",Сделать связную главу о семье и поздних годах  персональные данные — после privacy review.,high,living-person review required
159,158,manuscript/family_later_years,"Продолжение рассказа о детях, семье, поездках, работе и поздних событиях.",Сделать связную главу о семье и поздних годах  персональные данные — после privacy review.,high,living-person review required
160,159,manuscript/family_later_years,"Продолжение рассказа о детях, семье, поездках, работе и поздних событиях.",Сделать связную главу о семье и поздних годах  персональные данные — после privacy review.,high,living-person review required
161,160,album_page/photos,"Четыре семейные фотографии с подписями: зима 1950 года, Кисловодск, Симферополь 1948 года и Яблонная 1953 года.","Вырезать четыре снимка отдельно, сохранить контекст подписей, включить в фотохронологию.",high,historical/public after verification
